opossum|noun|masculine					
https://www.cnrtl.fr/definition/58803					
http://kaiko.getalp.org/dbnary/fra/opossum__nom__1					
	UND-1	Sarigue de l'ordre des Marsupiaux, qui vit en Amérique, de la taille d'un écureuil, au pelage fin et long, grisâtre ou brun.	none	Opossum d’Océanie, nom vernaculaire donné, en français, à certains marsupiaux herbivores comme le phalanger ou cousou (ou encore couscous) ou le wyulda.	http://kaiko.getalp.org/dbnary/fra/__ws_3_opossum__nom__1
	UND-1	Sarigue de l'ordre des Marsupiaux, qui vit en Amérique, de la taille d'un écureuil, au pelage fin et long, grisâtre ou brun.	narrower	Opossum d'Amérique, nom vernaculaire donné à plusieurs espèces de sarigues vivant sur le continent américain.	http://kaiko.getalp.org/dbnary/fra/__ws_1_opossum__nom__1
	UND-1	Sarigue de l'ordre des Marsupiaux, qui vit en Amérique, de la taille d'un écureuil, au pelage fin et long, grisâtre ou brun.	none	(Par métonymie) Fourrure de cet animal.	http://kaiko.getalp.org/dbnary/fra/__ws_2_opossum__nom__1
	UND-2	Fourrure de sarigue grise ou brune, ou teinte en imitant la fourrure de la martre ou du sconse.	none	Opossum d’Océanie, nom vernaculaire donné, en français, à certains marsupiaux herbivores comme le phalanger ou cousou (ou encore couscous) ou le wyulda.	http://kaiko.getalp.org/dbnary/fra/__ws_3_opossum__nom__1
	UND-2	Fourrure de sarigue grise ou brune, ou teinte en imitant la fourrure de la martre ou du sconse.	none	Opossum d'Amérique, nom vernaculaire donné à plusieurs espèces de sarigues vivant sur le continent américain.	http://kaiko.getalp.org/dbnary/fra/__ws_1_opossum__nom__1
	UND-2	Fourrure de sarigue grise ou brune, ou teinte en imitant la fourrure de la martre ou du sconse.	broader	(Par métonymie) Fourrure de cet animal.	http://kaiko.getalp.org/dbnary/fra/__ws_2_opossum__nom__1
physiognomonie|noun|feminine					
https://www.cnrtl.fr/definition/64159					
http://kaiko.getalp.org/dbnary/fra/physiognomonie__nom__1					
	UND-1	Étude du tempérament et du caractère d'une personne à partir de la forme, des traits et des expressions du visage.	broader	Étude du caractère à partir des traits du visage → voir physionomie.	http://kaiko.getalp.org/dbnary/fra/__ws_1_physiognomonie__nom__1
	UND-1	Étude du tempérament et du caractère d'une personne à partir de la forme, des traits et des expressions du visage.	none	Traité qui a cette matière pour sujet.	http://kaiko.getalp.org/dbnary/fra/__ws_2_physiognomonie__nom__1
