opossum|noun|masculine					
https://www.cnrtl.fr/definition/58803					
http://kaiko.getalp.org/dbnary/fra/opossum__nom__1					
	UND-1	Sarigue de l'ordre des Marsupiaux, qui vit en Amérique, de la taille d'un écureuil, au pelage fin et long, grisâtre ou brun.		Opossum d’Océanie, nom vernaculaire donné, en français, à certains marsupiaux herbivores comme le phalanger ou cousou (ou encore couscous) ou le wyulda.	http://kaiko.getalp.org/dbnary/fra/__ws_3_opossum__nom__1
	UND-1	Sarigue de l'ordre des Marsupiaux, qui vit en Amérique, de la taille d'un écureuil, au pelage fin et long, grisâtre ou brun.		Opossum d'Amérique, nom vernaculaire donné à plusieurs espèces de sarigues vivant sur le continent américain.	http://kaiko.getalp.org/dbnary/fra/__ws_1_opossum__nom__1
	UND-1	Sarigue de l'ordre des Marsupiaux, qui vit en Amérique, de la taille d'un écureuil, au pelage fin et long, grisâtre ou brun.		(Par métonymie) Fourrure de cet animal.	http://kaiko.getalp.org/dbnary/fra/__ws_2_opossum__nom__1
	UND-2	Fourrure de sarigue grise ou brune, ou teinte en imitant la fourrure de la martre ou du sconse.		Opossum d’Océanie, nom vernaculaire donné, en français, à certains marsupiaux herbivores comme le phalanger ou cousou (ou encore couscous) ou le wyulda.	http://kaiko.getalp.org/dbnary/fra/__ws_3_opossum__nom__1
	UND-2	Fourrure de sarigue grise ou brune, ou teinte en imitant la fourrure de la martre ou du sconse.		Opossum d'Amérique, nom vernaculaire donné à plusieurs espèces de sarigues vivant sur le continent américain.	http://kaiko.getalp.org/dbnary/fra/__ws_1_opossum__nom__1
	UND-2	Fourrure de sarigue grise ou brune, ou teinte en imitant la fourrure de la martre ou du sconse.		(Par métonymie) Fourrure de cet animal.	http://kaiko.getalp.org/dbnary/fra/__ws_2_opossum__nom__1
physiognomonie|noun|feminine					
https://www.cnrtl.fr/definition/64159					
http://kaiko.getalp.org/dbnary/fra/physiognomonie__nom__1					
	UND-1	Étude du tempérament et du caractère d'une personne à partir de la forme, des traits et des expressions du visage.		Étude du caractère à partir des traits du visage → voir physionomie.	http://kaiko.getalp.org/dbnary/fra/__ws_1_physiognomonie__nom__1
	UND-1	Étude du tempérament et du caractère d'une personne à partir de la forme, des traits et des expressions du visage.		Traité qui a cette matière pour sujet.	http://kaiko.getalp.org/dbnary/fra/__ws_2_physiognomonie__nom__1
	UND-2	Ouvrage traitant de cette technique, de son application.		Étude du caractère à partir des traits du visage → voir physionomie.	http://kaiko.getalp.org/dbnary/fra/__ws_1_physiognomonie__nom__1
	UND-2	Ouvrage traitant de cette technique, de son application.		Traité qui a cette matière pour sujet.	http://kaiko.getalp.org/dbnary/fra/__ws_2_physiognomonie__nom__1
brave|adjective|					
https://www.cnrtl.fr/definition/14341					
http://kaiko.getalp.org/dbnary/fra/brave__adj__1					
	I._A._2.UND-2	Qui ne craint pas les dangers, les entreprises difficiles, qui est prêt à les affronter avec courage.		(Familier) En s’adressant à des gens de condition inférieure.	http://kaiko.getalp.org/dbnary/fra/__ws_6_brave__adj__1
	I._A._2.UND-2	Qui ne craint pas les dangers, les entreprises difficiles, qui est prêt à les affronter avec courage.		Courageux ; vaillant	http://kaiko.getalp.org/dbnary/fra/__ws_1_brave__adj__1
	I._A._2.UND-2	Qui ne craint pas les dangers, les entreprises difficiles, qui est prêt à les affronter avec courage.		(Occitanie) Gentil, serviable, accommodant, obligeant.	http://kaiko.getalp.org/dbnary/fra/__ws_4_brave__adj__1
	I._A._2.UND-2	Qui ne craint pas les dangers, les entreprises difficiles, qui est prêt à les affronter avec courage.		Sens littéral :	http://kaiko.getalp.org/dbnary/fra/__ws_8_brave__adj__1
	I._A._2.UND-2	Qui ne craint pas les dangers, les entreprises difficiles, qui est prêt à les affronter avec courage.		(Familier) Qualifie une personne très gentille mais un peu stupide.	http://kaiko.getalp.org/dbnary/fra/__ws_3_brave__adj__1
	I._A._2.UND-2	Qui ne craint pas les dangers, les entreprises difficiles, qui est prêt à les affronter avec courage.		Sens dérivé :	http://kaiko.getalp.org/dbnary/fra/__ws_9_brave__adj__1
	I._A._2.UND-2	Qui ne craint pas les dangers, les entreprises difficiles, qui est prêt à les affronter avec courage.		(Vieilli) Qui a un costume soigné.	http://kaiko.getalp.org/dbnary/fra/__ws_5_brave__adj__1
	I._A._2.UND-2	Qui ne craint pas les dangers, les entreprises difficiles, qui est prêt à les affronter avec courage.		Serviable ; honnête ; bon ; obligeant.	http://kaiko.getalp.org/dbnary/fra/__ws_2_brave__adj__1
	I._A._2.UND-2	Qui ne craint pas les dangers, les entreprises difficiles, qui est prêt à les affronter avec courage.		(Occitanie) Fort, grand, important.	http://kaiko.getalp.org/dbnary/fra/__ws_7_brave__adj__1
	I._A._2.UND-8	Qui possède des qualités de droiture, de loyauté, d'honnêteté et fait des actions qui relèvent de ces qualités.		(Familier) En s’adressant à des gens de condition inférieure.	http://kaiko.getalp.org/dbnary/fra/__ws_6_brave__adj__1
	I._A._2.UND-8	Qui possède des qualités de droiture, de loyauté, d'honnêteté et fait des actions qui relèvent de ces qualités.		Courageux ; vaillant	http://kaiko.getalp.org/dbnary/fra/__ws_1_brave__adj__1
	I._A._2.UND-8	Qui possède des qualités de droiture, de loyauté, d'honnêteté et fait des actions qui relèvent de ces qualités.		(Occitanie) Gentil, serviable, accommodant, obligeant.	http://kaiko.getalp.org/dbnary/fra/__ws_4_brave__adj__1
	I._A._2.UND-8	Qui possède des qualités de droiture, de loyauté, d'honnêteté et fait des actions qui relèvent de ces qualités.		Sens littéral :	http://kaiko.getalp.org/dbnary/fra/__ws_8_brave__adj__1
	I._A._2.UND-8	Qui possède des qualités de droiture, de loyauté, d'honnêteté et fait des actions qui relèvent de ces qualités.		(Familier) Qualifie une personne très gentille mais un peu stupide.	http://kaiko.getalp.org/dbnary/fra/__ws_3_brave__adj__1
	I._A._2.UND-8	Qui possède des qualités de droiture, de loyauté, d'honnêteté et fait des actions qui relèvent de ces qualités.		Sens dérivé :	http://kaiko.getalp.org/dbnary/fra/__ws_9_brave__adj__1
	I._A._2.UND-8	Qui possède des qualités de droiture, de loyauté, d'honnêteté et fait des actions qui relèvent de ces qualités.		(Vieilli) Qui a un costume soigné.	http://kaiko.getalp.org/dbnary/fra/__ws_5_brave__adj__1
	I._A._2.UND-8	Qui possède des qualités de droiture, de loyauté, d'honnêteté et fait des actions qui relèvent de ces qualités.		Serviable ; honnête ; bon ; obligeant.	http://kaiko.getalp.org/dbnary/fra/__ws_2_brave__adj__1
	I._A._2.UND-8	Qui possède des qualités de droiture, de loyauté, d'honnêteté et fait des actions qui relèvent de ces qualités.		(Occitanie) Fort, grand, important.	http://kaiko.getalp.org/dbnary/fra/__ws_7_brave__adj__1
	I._A._UND-1	(Qui est) bien habillé, qui a une belle apparence, (qui est) beau/belle (grâce à ses habits, ses bijoux, etc.).		(Familier) En s’adressant à des gens de condition inférieure.	http://kaiko.getalp.org/dbnary/fra/__ws_6_brave__adj__1
	I._A._UND-1	(Qui est) bien habillé, qui a une belle apparence, (qui est) beau/belle (grâce à ses habits, ses bijoux, etc.).		Courageux ; vaillant	http://kaiko.getalp.org/dbnary/fra/__ws_1_brave__adj__1
	I._A._UND-1	(Qui est) bien habillé, qui a une belle apparence, (qui est) beau/belle (grâce à ses habits, ses bijoux, etc.).		(Occitanie) Gentil, serviable, accommodant, obligeant.	http://kaiko.getalp.org/dbnary/fra/__ws_4_brave__adj__1
	I._A._UND-1	(Qui est) bien habillé, qui a une belle apparence, (qui est) beau/belle (grâce à ses habits, ses bijoux, etc.).		Sens littéral :	http://kaiko.getalp.org/dbnary/fra/__ws_8_brave__adj__1
	I._A._UND-1	(Qui est) bien habillé, qui a une belle apparence, (qui est) beau/belle (grâce à ses habits, ses bijoux, etc.).		(Familier) Qualifie une personne très gentille mais un peu stupide.	http://kaiko.getalp.org/dbnary/fra/__ws_3_brave__adj__1
	I._A._UND-1	(Qui est) bien habillé, qui a une belle apparence, (qui est) beau/belle (grâce à ses habits, ses bijoux, etc.).		Sens dérivé :	http://kaiko.getalp.org/dbnary/fra/__ws_9_brave__adj__1
	I._A._UND-1	(Qui est) bien habillé, qui a une belle apparence, (qui est) beau/belle (grâce à ses habits, ses bijoux, etc.).		(Vieilli) Qui a un costume soigné.	http://kaiko.getalp.org/dbnary/fra/__ws_5_brave__adj__1
	I._A._UND-1	(Qui est) bien habillé, qui a une belle apparence, (qui est) beau/belle (grâce à ses habits, ses bijoux, etc.).		Serviable ; honnête ; bon ; obligeant.	http://kaiko.getalp.org/dbnary/fra/__ws_2_brave__adj__1
	I._A._UND-1	(Qui est) bien habillé, qui a une belle apparence, (qui est) beau/belle (grâce à ses habits, ses bijoux, etc.).		(Occitanie) Fort, grand, important.	http://kaiko.getalp.org/dbnary/fra/__ws_7_brave__adj__1
	I._B._UND-11	Beau/belle		(Familier) En s’adressant à des gens de condition inférieure.	http://kaiko.getalp.org/dbnary/fra/__ws_6_brave__adj__1
	I._B._UND-11	Beau/belle		Courageux ; vaillant	http://kaiko.getalp.org/dbnary/fra/__ws_1_brave__adj__1
	I._B._UND-11	Beau/belle		(Occitanie) Gentil, serviable, accommodant, obligeant.	http://kaiko.getalp.org/dbnary/fra/__ws_4_brave__adj__1
	I._B._UND-11	Beau/belle		Sens littéral :	http://kaiko.getalp.org/dbnary/fra/__ws_8_brave__adj__1
	I._B._UND-11	Beau/belle		(Familier) Qualifie une personne très gentille mais un peu stupide.	http://kaiko.getalp.org/dbnary/fra/__ws_3_brave__adj__1
	I._B._UND-11	Beau/belle		Sens dérivé :	http://kaiko.getalp.org/dbnary/fra/__ws_9_brave__adj__1
	I._B._UND-11	Beau/belle		(Vieilli) Qui a un costume soigné.	http://kaiko.getalp.org/dbnary/fra/__ws_5_brave__adj__1
	I._B._UND-11	Beau/belle		Serviable ; honnête ; bon ; obligeant.	http://kaiko.getalp.org/dbnary/fra/__ws_2_brave__adj__1
	I._B._UND-11	Beau/belle		(Occitanie) Fort, grand, important.	http://kaiko.getalp.org/dbnary/fra/__ws_7_brave__adj__1
	I._B._UND-12	Courageux, vaillant		(Familier) En s’adressant à des gens de condition inférieure.	http://kaiko.getalp.org/dbnary/fra/__ws_6_brave__adj__1
	I._B._UND-12	Courageux, vaillant		Courageux ; vaillant	http://kaiko.getalp.org/dbnary/fra/__ws_1_brave__adj__1
	I._B._UND-12	Courageux, vaillant		(Occitanie) Gentil, serviable, accommodant, obligeant.	http://kaiko.getalp.org/dbnary/fra/__ws_4_brave__adj__1
	I._B._UND-12	Courageux, vaillant		Sens littéral :	http://kaiko.getalp.org/dbnary/fra/__ws_8_brave__adj__1
